country,datadate,ew_return,vw_return,period
GBR,2023-04-30,-0.0147903034485078,-0.1057022324955731,Recovery
GBR,2023-05-31,-0.042891194155,-0.1276396297867882,Recovery
GBR,2023-06-30,-0.0468465546259361,-0.1267873347710795,Recovery
GBR,2023-07-31,-0.0215219088152112,-0.1251157920874141,Recovery
GBR,2023-08-31,-0.0451173908754579,-0.1407692465881831,Recovery
GBR,2023-09-30,-0.0401213747343802,-0.1170507550524766,Recovery
GBR,2023-10-31,-0.0663589391467706,-0.1232510604618732,Recovery
GBR,2023-11-30,-0.0147929137449553,-0.0905075195465359,Recovery
GBR,2023-12-31,-0.0051173422023254,-0.1220571414335751,Recovery
GBR,2024-01-31,-0.0333513517016695,-0.0655537866836155,Recovery
GBR,2024-02-29,-0.0433004497075603,-0.0891456493603988,Recovery
GBR,2024-03-31,-0.0341992099564707,-0.2402056909383055,Recovery
GBR,2024-04-30,-0.0242295578564851,-0.0983158374403722,Recovery
GBR,2024-05-31,-0.0120406423219041,-0.1292044103689286,Recovery
GBR,2024-06-30,-0.0390505119923487,-0.101487371182256,Recovery
GBR,2024-07-31,-0.0201064514204007,-0.089520663366016,Recovery
GBR,2024-08-31,-0.0428605042848764,-0.163552882335831,Recovery
GBR,2024-09-30,-0.0524982133638069,-0.1751069937654412,Recovery
GBR,2024-10-31,-0.0530076712783686,-0.1773114402727255,Recovery
GBR,2024-11-30,-0.0360837956760291,-0.1209233523115272,Recovery
GBR,2024-12-31,-0.0393637745151396,-0.12375574937645,Recovery
IND,2020-03-31,-0.4449601256685982,-0.4005449591755644,Crisis
IND,2020-04-30,0.1083012956523473,0.148059366092096,Crisis
IND,2020-05-31,-0.0126780416113975,-0.0093628811703036,Crisis
IND,2020-06-30,0.1465854868070704,0.1008709038479867,Crisis
IND,2020-07-31,0.0011365432485135,0.0443354329454972,Crisis
IND,2020-08-31,0.0935633518697819,0.0858052921275687,Crisis
IND,2020-09-30,-0.0034721160620967,0.0631492728995243,Crisis
IND,2020-10-31,0.0019241936191038,0.051784826713138,Crisis
IND,2020-11-30,0.0699796581870854,0.1421506185538374,Crisis
IND,2020-12-31,0.1140437102271133,0.1229749245205946,Crisis
IND,2021-01-31,0.0268228620919055,0.0221999438733755,Crisis
IND,2021-02-28,0.0500953062100154,0.1374188692615851,Crisis
IND,2021-03-31,-0.0039915684904981,0.0619446799541001,Crisis
IND,2021-04-30,0.046165228691414,-5.4555965782892965e-05,Crisis
IND,2021-05-31,0.1250946685178166,0.0619545673824533,Crisis
IND,2021-06-30,0.1260775832784433,0.0206725013526848,Crisis
IND,2021-07-31,0.094001652151314,0.0463918947237285,Crisis
IND,2021-08-31,-0.0365644277710573,0.0549822117339564,Crisis
IND,2021-09-30,0.0445053500710525,0.0675730174808085,Crisis
IND,2021-10-31,0.0229269823617446,0.0139365834488068,Crisis
IND,2021-11-30,0.023899725022067,0.0005780453620142,Crisis
IND,2021-12-31,0.1288603119881762,0.0301849753489674,Crisis
IND,2022-01-31,0.0585080475938067,0.0263295181815535,Recovery
IND,2022-02-28,-0.0788865100019423,-0.0458171736359926,Recovery
IND,2022-03-31,0.0236007232825715,0.0576200816649598,Recovery
IND,2022-04-30,0.0661813804951292,0.0163821582602381,Recovery
IND,2022-05-31,-0.0731046224943256,-0.0543091564188381,Recovery
IND,2022-06-30,-0.0384814090752926,-0.0519761264398903,Recovery
IND,2022-07-31,0.0529947117418663,0.096868459228061,Recovery
IND,2022-08-31,0.0665283722306367,0.0503725453060699,Recovery
IND,2022-09-30,0.0210539454240911,-0.0135462251200204,Recovery
IND,2022-10-31,0.0186180373842354,0.0486207505620153,Recovery
IND,2022-11-30,0.0223090983524292,0.050165573430732,Recovery
IND,2022-12-31,0.0118242189358824,-0.0128246694779811,Recovery
IND,2023-01-31,0.0011291919683742,-0.0140091308734828,Recovery
IND,2023-02-28,-0.0602900087151457,-0.028397210326264,Recovery
IND,2023-03-31,-0.0395926953847751,0.0036119920548928,Recovery
IND,2023-04-30,0.1014555503864033,0.0701445688408098,Recovery
IND,2023-05-31,0.0277886622931261,0.0538745049291362,Recovery
IND,2023-06-30,0.053287608385041,0.0620937746004791,Recovery
IND,2023-07-31,0.0350540713239888,0.0532912874087898,Recovery
IND,2023-08-31,0.0610471108541309,0.0060277815327478,Recovery
IND,2023-09-30,0.0363761682092835,0.0476212137036526,Recovery
IND,2023-10-31,0.016649649586998,-0.0255022988654628,Recovery
IND,2023-11-30,0.0744372694926129,0.083703068807697,Recovery
IND,2023-12-31,0.0672159005679462,0.1021701900683188,Recovery
IND,2024-01-31,0.1054818803596221,0.059182789410251,Recovery
IND,2024-02-29,0.0074679721716278,0.0333327058309512,Recovery
IND,2024-03-31,-0.0743778789362093,0.0084711414713538,Recovery
IND,2024-04-30,0.1119780404618756,0.058040184563921,Recovery
IND,2024-05-31,-0.0145425429003976,0.0156472874767518,Recovery
IND,2024-06-30,0.0761986359056279,0.075812307990743,Recovery
IND,2024-07-31,0.0678998557850356,0.0614753219142876,Recovery
IND,2024-08-31,0.0339660867923056,0.0140160024315825,Recovery
IND,2024-09-30,0.0202204808984136,0.0232510049113573,Recovery
IND,2024-10-31,-0.0183731453625859,-0.062404530969159,Recovery
IND,2024-11-30,0.009151632590962,-0.0003937570966767,Recovery
IND,2024-12-31,0.0236647512368783,-0.0091925788045836,Recovery
JPN,2020-03-31,-0.8934239571503143,-0.0164639595026578,Crisis
JPN,2020-04-30,0.0462095335531246,0.0435040616199129,Crisis
JPN,2020-05-31,0.0631928850406455,0.0640921119142053,Crisis
JPN,2020-06-30,-0.0212800206308809,-0.0017841655484308,Crisis
JPN,2020-07-31,-0.0779275593429346,-0.0231756874098203,Crisis
JPN,2020-08-31,0.0524513673352004,0.0892660527568334,Crisis
JPN,2020-09-30,0.0152070123262548,0.0188068205657808,Crisis
JPN,2020-10-31,-0.0696711965346907,-0.0203813218206157,Crisis
JPN,2020-11-30,0.0236574892496211,0.0994802429550486,Crisis
